"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"56",6,"Alvin Kamara",NO,"RB20","11","28","3 out of 5 stars","+17"
"57",6,"Joe Burrow",CIN,"QB5","7","26","1 out of 5 stars","-26"
"58",6,"Terry McLaurin",WAS,"WR28","14","28","3 out of 5 stars","-2"
"59",6,"David Montgomery",DET,"RB21","9","26","4 out of 5 stars","+32"
"60",6,"Aaron Jones",GB,"RB22","6","29","2 out of 5 stars","+7"
"61",6,"Zach Charbonnet",SEA,"RB23","5","22","2 out of 5 stars","+17"
"62",7,"Derrick Henry",TEN,"RB24","7","29","3 out of 5 stars","-24"
"63",7,"Christian Watson",GB,"WR29","6","24","4 out of 5 stars","-12"
"64",7,"Diontae Johnson",PIT,"WR30","6","27","1 out of 5 stars","+13"
"65",7,"Lamar Jackson",BAL,"QB6","13","26","3 out of 5 stars","-22"
"66",7,"Dameon Pierce",HOU,"RB25","7","23","3 out of 5 stars","0"
"67",7,"Dalton Kincaid",BUF,"TE6","13","24","3 out of 5 stars","+13"
"68",7,"Trevor Lawrence",JAC,"QB7","9","24","2 out of 5 stars","-7"
"69",7,"Josh Downs",IND,"WR31","11","22","2 out of 5 stars","+34"
"70",7,"Nick Chubb",CLE,"RB26","5","27","2 out of 5 stars","-35"
"71",7,"Jahan Dotson",WAS,"WR32","14","23","3 out of 5 stars","+15"
"72",7,"Dallas Goedert",PHI,"TE7","10","28","4 out of 5 stars","-1"
"73",7,"Marquise Brown",ARI,"WR33","14","26","1 out of 5 stars","+1"
"74",7,"James Cook",BUF,"RB27","13","24","3 out of 5 stars","-2"
"75",7,"Tank Dell",HOU,"WR34","7","24","3 out of 5 stars","+91"
"76",7,"Khalil Herbert",CHI,"RB28","13","25","3 out of 5 stars","+45"
"77",7,"Nico Collins",HOU,"WR35","7","24","3 out of 5 stars","+107"
"78",7,"Christian Kirk",JAC,"WR36","9","27","3 out of 5 stars","+4"
"79",7,"George Kittle",SF,"TE8","9","30","3 out of 5 stars","-32"
"80",7,"Brian Robinson Jr.",WAS,"RB29","14","24","3 out of 5 stars","+14"
"81",7,"Miles Sanders",CAR,"RB30","7","26","2 out of 5 stars","-18"
"82",7,"Justin Fields",CHI,"QB8","13","24","4 out of 5 stars","-24"
"83",8,"Amari Cooper",CLE,"WR37","5","29","2 out of 5 stars","-8"
"84",8,"Mike Evans",TB,"WR38","5","30","4 out of 5 stars","-20"
"85",8,"Keenan Allen",LAC,"WR39","5","31","3 out of 5 stars","-15"
"86",8,"Jerry Jeudy",DEN,"WR40","9","24","3 out of 5 stars","-26"
"87",8,"Kendre Miller",NO,"RB31","11","21","3 out of 5 stars","-2"
"88",8,"C.J. Stroud",HOU,"QB9","7","22","2 out of 5 stars","+106"
"89",8,"Alexander Mattison",MIN,"RB32","13","25","3 out of 5 stars","+37"
"90",8,"Roschon Johnson",CHI,"RB33","13","22","3 out of 5 stars","+21"
"91",8,"Tua Tagovailoa",MIA,"QB10","10","25","2 out of 5 stars","+21"
"92",8,"Evan Engram",JAC,"TE9","9","29","2 out of 5 stars","+24"
"93",8,"AJ Dillon",GB,"RB34","6","25","2 out of 5 stars","0"
"94",8,"Treylon Burks",TEN,"WR41","7","23","3 out of 5 stars","-29"
"95",8,"Rashee Rice",KC,"WR42","10","23","3 out of 5 stars","+4"
"96",8,"Anthony Richardson",IND,"QB11","11","21","2 out of 5 stars","-9"
"97",8,"Kyler Murray",ARI,"QB12","14","26","2 out of 5 stars","-8"
"98",8,"DeAndre Hopkins",TEN,"WR43","7","31","3 out of 5 stars","-17"
"99",8,"Dak Prescott",DAL,"QB13","7","30","5 out of 5 stars","-4"
"100",8,"Tank Bigsby",JAC,"RB35","9","22","3 out of 5 stars","+19"
"101",8,"Jameson Williams",DET,"WR44","9","22","3 out of 5 stars","-32"
"102",8,"Gabe Davis",BUF,"WR45","13","24","2 out of 5 stars","+11"
"103",9,"Cole Kmet",CHI,"TE10","13","24","3 out of 5 stars","+22"
"104",9,"James Conner",ARI,"RB36","14","28","2 out of 5 stars","-4"
"105",9,"Trey McBride",ARI,"TE11","14","24","3 out of 5 stars","+54"
"106",9,"Quentin Johnston",LAC,"WR46","5","22","3 out of 5 stars","-60"
"107",9,"Tyler Allgeier",ATL,"RB37","11","23","3 out of 5 stars","+15"
"108",9,"David Njoku",CLE,"TE12","5","27","2 out of 5 stars","+7"
"109",9,"J.K. Dobbins",BAL,"RB38","13","24","2 out of 5 stars","-59"
"110",9,"Deshaun Watson",CLE,"QB14","5","28","2 out of 5 stars","-13"
"111",9,"Rashod Bateman",BAL,"WR47","13","24","2 out of 5 stars","-15"
"112",9,"Jakobi Meyers",LV,"WR48","13","27","4 out of 5 stars","+23"
"113",9,"Pat Freiermuth",PIT,"TE13","6","25","2 out of 5 stars","-25"
"114",9,"Elijah Moore",CLE,"WR49","5","23","2 out of 5 stars","+6"
